n140083243719960,0,0.000004551
n140083243721880,0,0.000004631
n140083243723800,0,0.000004586
n140083243725720,0,0.000005061
n140083243727640,0,0.00000466
n140083243770520,0,0.000005111
n140083243772440,0,0.000005758
n140083243595288,1,0.0000025350.000013483,0.000002535,0.000013483
n140083243790360,1,0.0000025720.000013176,0.000002572,0.000013176
n140083243790872,1,0.0000024720.000012357,0.000002472,0.000012357
n140083243791384,1,0.0000016690.000009274,0.000001669,0.000009274
n140083243792920,0,0.000004792
n140083243798552,0,0.000005136
n140083243800088,0,0.000005297
n140083243801624,0,0.000004547
n140083243803160,0,0.000004564
n140083243804696,0,0.000004915
n140083243806232,0,0.000004984
n140083243807768,0,0.000005034
n140083243809304,0,0.000005377
n140083242811416,0,0.000005072
n140083242812952,0,0.000005588
n140083242814488,0,0.000004474
n140083243774360,3,0.0001551640.000017982,0.000155164,0.000017982
n140083243775000,3,0.0001737950.000023172,0.000173795,0.000023172
n140083243776280,3,0.0001541270.000018357,0.000154127,0.000018357
n140083243777560,3,0.0001314940.000015336,0.000131494,0.000015336
n140083243778840,1,0.0000532940.000009053,0.000053294,0.000009053
n140083243780120,1,0.0000407050.00000942,0.000040705,0.00000942
n140083243781400,1,0.0000340630.000009096,0.000034063,0.000009096
n140083243782680,1,0.0000310840.000007816,0.000031084,0.000007816
n140083243783960,1,0.0000414550.000009014,0.000041455,0.000009014
n140083243785240,1,0.0000454910.000010597,0.000045491,0.000010597
n140083243786520,1,0.0000441410.000008863,0.000044141,0.000008863
n140083243787800,1,0.0000370250.000008672,0.000037025,0.000008672
n140083243789080,1,0.0000409970.000010492,0.000040997,0.000010492
n140083243835416,1,0.0000472070.000008142,0.000047207,0.000008142
n140083243836696,1,0.0000357860.000008491,0.000035786,0.000008491
n140083243837976,1,0.0000295850.00000781,0.000029585,0.00000781
n140083243077656,5,0.0005530710.000255039,0.000553071,0.000255039
n140083243615512,4,0.0007045550.000021416,0.000704555,0.000021416
n140083242892312,4,0.000012950.000022433,0.00001295,0.000022433
n140083242624408,1,0.0000015260.000003757,0.000001526,0.000003757
n140083242624792,1,4.540.000002728,4.54,0.000002728
n140085332421656,5,0.0000321740.000024465,0.000032174,0.000024465
n140083200991256,253,0.0038541130.014418539,0.003854113,0.014418539
n140085300052248,17,0.0209174580.000066239,0.020917458,0.000066239
n140085300052632,17,0.0204248020.00007548,0.020424802,0.00007548
n140085265133592,17,0.0207191360.000068765,0.020719136,0.000068765
n140085265134744,17,0.0208116540.000070254,0.020811654,0.000070254
n140085302243352,17,0.0207234660.000070969,0.020723466,0.000070969
n140085302244504,17,0.0207065030.000070629,0.020706503,0.000070629
n140084983090968,17,0.0202643850.000078014,0.020264385,0.000078014
n140084983091352,17,0.0206367490.000070334,0.020636749,0.000070334
n140083385155608,17,0.0205421410.000077128,0.020542141,0.000077128
n140083385156760,17,0.0207318280.000074365,0.020731828,0.000074365
n140085506572824,17,0.0216713740.000072962,0.021671374,0.000072962
n140085506573208,18,0.0216224530.000090081,0.021622453,0.000090081
n140085315831832,17,0.0204433410.000070714,0.020443341,0.000070714
n140085315832216,17,0.0199092480.000069769,0.019909248,0.000069769
n140085315832600,16,0.0201188920.000072979,0.020118892,0.000072979
n140085315832984,17,0.0205119750.000068936,0.020511975,0.000068936
